lp;N_jumps;N_rearing;N_grooming;Latency_cent;Distance;Central;Corner;Walls
1;0;48;3;166.5;3922.1768;0.105483235;0.519526627;0.374990138
2;4;73;2;4.56;6825.2384;0.072838436;0.597390718;0.329770845
3;3;53;2;174.68;2847.4499;0.040763085;0.61984347;0.339393445
4;3;65;2;112.96;4617.835;0.054260031;0.726875977;0.218863992
5;1;40;1;83.08;3820.8184;0.073429894;0.628398433;0.298171673
6;28;80;5;5.36;6562.333;0.050887517;0.615859541;0.333252942
7;0;34;0;134.04;2306.3588;0.064764303;0.663099734;0.272135963
8;0;41;0;114.56;3188.6288;0.042954426;0.600707177;0.356338397
9;10;67;0;104.92;5020.25;0.090453218;0.549574711;0.359972071
10;1;50;1;180.92;4445.1889;0.050694328;0.587251129;0.362054542
11;2;49;1;102.36;3920.3007;0.072157159;0.701234101;0.226608739
12;0;21;1;239.68;868.5114;0.073757764;0.819875776;0.10636646
13;0;23;0;214.72;1585.1801;0.08826968;0.71005456;0.20167576
14;30;77;0;1.24;6304.5758;0.136354953;0.555640462;0.308004585
15;17;61;1;40.48;6734.8866;0.087531619;0.621469224;0.290999157
16;1;52;3;51.72;3437.8177;0.027316172;0.771966982;0.200716846
17;1;38;3;2.04;3432.7927;0.044023352;0.744855967;0.211120681
18;0;13;1;251.16;1735.4837;0.085406302;0.527007818;0.38758588
19;5;65;0;88.6;5818.7489;0.081050091;0.54067592;0.378273989
20;0;13;3;156.6;1958.6417;0.113667426;0.704328018;0.182004556
21;0;31;1;68.6;2538.1465;0.033067729;0.68400683;0.282925441
22;3;64;0;50.9;5146.3746;0.034678949;0.588458412;0.376862639
23;0;14;0;275.04;1362.0795;0.197433775;0.429359823;0.373206402
24;0;29;1;270.52;2435.6982;0.089376505;0.577067166;0.333556329
25;1;25;0;265.16;1806.9194;0.03280806;0.623998967;0.343192973
26;0;10;0;150.44;1004.7465;0.053123609;0.707671761;0.23920463
27;0;24;0;92.32;2591.4042;0.041137695;0.716064453;0.242797852
28;1;36;2;162.12;3044.5348;0.064913913;0.690941523;0.244144563
29;0;38;2;149.24;2656.9334;0.024819028;0.675136652;0.30004432
30;1;45;1;91.48;3370.4134;0.054973822;0.626141483;0.318884695
31;0;65;3;13.36;6101.2366;0.064332087;0.612433602;0.32323431
32;0;51;1;58.16;3493.9086;0.027691797;0.650729604;0.321578598
33;0;48;2;77.72;4376.262;0.073916092;0.672139769;0.253944139
34;0;32;2;164.32;2439.425;0.047090113;0.629067584;0.323842303
35;1;32;0;205.84;2270.4013;0.03231229;0.658106089;0.309581621
36;1;58;1;88.6;3861.9842;0.053651177;0.628485214;0.317863609
37;0;12;3;233.04;1599.9496;0.082156611;0.693624305;0.224219084
38;0;0;0;420;61.0521;0;0;0
39;0;13;0;275.04;1356.0236;0.033112583;0.593681015;0.373206402
40;0;18;0;263.92;1450.8012;0.035238339;0.680548437;0.284213224
41;0;28;1;214.8;1733.8273;0.052339181;0.711500975;0.236159844
42;2;34;3;86.96;2328.2056;0.046781167;0.713908239;0.239310593
43;0;31;0;172.88;2628.8636;0.094528974;0.62552606;0.279944966
44;0;8;1;125.48;1161.7784;0.027502377;0.818484313;0.15401331
45;0;19;0;285.6;1509.7059;0.005803571;0.504315476;0.489880952
46;0;6;3;294.72;662.7603;0.010696041;0.811621967;0.177681992
47;0;19;2;141.76;1411.2583;0.023289247;0.784143186;0.192567568
48;0;32;1;129.34;1944.5738;0.034542077;0.820959196;0.144498727
49;0;35;2;164.2;2445.7712;0.032681783;0.674980453;0.292337764
50;14;57;2;46.36;6280.8551;0.203243764;0.504335724;0.292420512
51;0;49;1;113.16;2962.903;0.017077304;0.693325512;0.289597184
52;0;20;0;244.48;1596.931;0.151435734;0.51310392;0.335460346
53;0;3;7;113.8;663.2156;0.00548661;0.935662965;0.058850425
54;0;13;2;255.36;1195.4097;0.055150632;0.502672498;0.442176871
55;0;2;1;360.96;174.0626;0;0.289295393;0.710704607
56;0;30;0;236.8;2115.7085;0.05;0.560043668;0.389956332
57;1;49;1;143.92;3241.6336;0.075268038;0.630034773;0.294697189
58;0;28;2;140.56;2335.604;0.025765817;0.61601775;0.358216433
59;5;97;0;4.8;7846.8704;0.060789981;0.600529865;0.338680154
60;0;51;2;91.52;2939.7605;0.062834876;0.451412567;0.485752557
61;4;41;1;129.28;3436.7026;0.034122179;0.595762245;0.370115575
62;4;72;0;90.88;6091.2417;0.052989791;0.611387944;0.335622265
63;18;60;0;55.72;7690.7335;0.130284397;0.477325135;0.392390469
64;2;52;0;133.56;4969.0947;0.091956431;0.541125541;0.366918028
65;0;11;2;112.64;962.3466;0.016657991;0.860554399;0.122787611
66;17;92;0;5.62;9761.4855;0.075148414;0.604469328;0.320382258
